"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"0","165.39064966230305","207.2312698637148","0.1181640625","0.12841796875","0.10791015625","1560","0.00045057055178698326","32","0.00045057055178698326","0","0.00045057055178698326","0.00045057055178698326","15:0.004065146492141319;1:0.002283620119757246","15:68;1:68","Yes",""
"1","248.31301998085578","221.92617827544865","0.05224609375","0.04052734375","0.06396484375","1560","0.00012935541839459582","32","0.00012935541839459582","0","0.00012935541839459582","0.00012935541839459582","2:0.002847653444846915;0:0.002283620119757246","2:68;0:68","Yes","2:0.0031130606512938808"
"2","98.7900725347221","111.89176024414715","0.057861328125","0.1015625","0.01416015625","1560","0.0003157975451966449","32","0.0003157975451966449","0","0.0003157975451966449","0.0003157975451966449","1:0.002847653444846915;3:0.002058867255017194","1:68;3:68","Yes","1:0.0031130606512938808;3:0.0025560774936303765"
"3","221.70003121658303","156.41809574891315","0.017333984375","0.0224609375","0.01220703125","1560","0.0002138559082977344","32","0.0002138559082977344","0","0.0002138559082977344","0.0002138559082977344","2:0.002058867255017194;4:0.0035019219055322515","2:68;4:68","Yes","2:0.0025560774936303765;4:0.0031969594704643056"
"4","146.808905700196","192.7779426305898","0.033935546875","0.04638671875","0.021484375","1560","0.0002803403743609594","32","0.0002803403743609594","0","0.0002803403743609594","0.0002803403743609594","3:0.0035019219055322515;5:0.003152255598042164;16:0.0021393293237344235","3:68;5:68;16:80","Yes","3:0.0031969594704643056;5:0.004760283353329897;16:0.00246686107349256"
"5","201.12953962232052","191.64741057209622","0.005615234375","0.00830078125","0.0029296875","1560","0.0001386860907264489","32","0.0001386860907264489","0","0.0001386860907264489","0.0001386860907264489","6:0.00257376829932518;4:0.003152255598042164","6:68;4:68","Yes","6:0.010713158711553095;4:0.004760283353329897"
"6","48.79335640283564","84.50960948708955","0.015625","0.02734375","0.00390625","1560","0.0004985610049564713","32","0.0004985610049564713","0","0.0004985610049564713","0.0004985610049564713","5:0.00257376829932518;7:0.0032348382303000744","5:68;7:68","Yes","5:0.010713158711553095;7:0.00989513780065751"
"7","215.5097678905385","129.9251217756391","0.015869140625","0.0166015625","0.01513671875","1560","0.0007001861314356767","32","0.0007001861314356767","0","0.0007001861314356767","0.0007001861314356767","6:0.0032348382303000744;8:0.0028951922158954313","6:68;8:68","Yes","6:0.00989513780065751;8:0.0033509299465974696"
"8","216.4001485226281","125.6126142335248","0.0361328125","0.037109375","0.03515625","1560","0.00045144353944402395","32","0.00045144353944402395","0","0.00045144353944402395","0.00045144353944402395","9:0.003611915510020519;17:0.00267853440131241;7:0.0028951922158954313","9:68;17:108;7:68","Yes","9:0.006904424985485574;17:0.0037391594243921245;7:0.0033509299465974696"
"9","121.97476844564902","104.16326857971549","0.019287109375","0.03759765625","0.0009765625","1560","0.00034572944888730387","32","0.00034572944888730387","0","0.00034572944888730387","0.00034572944888730387","8:0.003611915510020519;10:0.002662880643438559","8:68;10:68","Yes","8:0.006904424985485574;10:0.0047951394891317944"
"10","193.24539741219954","220.57341526999363","0.019287109375","0.0166015625","0.02197265625","1560","0.0002299454336650747","32","0.0002299454336650747","0","0.0002299454336650747","0.0002299454336650747","9:0.002662880643438559;11:0.003242380474397427","9:68;11:68","Yes","9:0.0047951394891317944;11:0.005620347928948749"
"11","124.7325031759543","143.11626926650948","0.0068359375","0.0107421875","0.0029296875","1560","0.00023442946719284138","32","0.00023442946719284138","0","0.00023442946719284138","0.00023442946719284138","10:0.003242380474397427;12:0.0035011715880808314","10:68;12:68","Yes","10:0.005620347928948749;12:0.0022724890500102624"
"12","352.10460581938196","331.85631122501394","0.01708984375","0.02099609375","0.01318359375","1560","0.00011229155313580983","32","0.00011229155313580983","0","0.00011229155313580983","0.00011229155313580983","18:0.0028065564339029014;13:0.0024270085674845676;11:0.0035011715880808314","18:68;13:68;11:68","Yes","18:0.003476894144543302;13:0.002180575917180877;11:0.0022724890500102624"
"13","288.60391771722965","220.86794627549978","0.0087890625","0.009765625","0.0078125","1560","0.0001893719094717569","32","0.0001893719094717569","0","0.0001893719094717569","0.0001893719094717569","12:0.0024270085674845676;14:0.0029217792952864197","12:68;14:68","Yes","12:0.002180575917180877;14:0.005551913820604465"
"14","248.02052657043103","153.60573969135555","0.02490234375","0.01171875","0.0380859375","1560","0.00017887927610035542","32","0.00017887927610035542","0","0.00017887927610035542","0.00017887927610035542","13:0.0029217792952864197","13:68","Yes","13:0.005551913820604465"
"15","145.92138070105378","35.71293775463739","0.023193359375","0.04541015625","0.0009765625","1560","0.0003752543837412883","32","0.0003752543837412883","0","0.0003752543837412883","0.0003752543837412883","0:0.004065146492141319;19:0.0034857207200792995","0:68;19:80","Yes","19:0.004149765187925425"
"16","195.7620606938156","162.75850234666527","0.020751953125","0.02197265625","0.01953125","1560","0.00021916791113227676","32","0.00021916791113227676","0","0.00021916791113227676","0.00021916791113227676","23:0.004574133898594068;4:0.0021393293237344235","23:184;4:80","Yes","23:0.005406036962407934;4:0.00246686107349256"
"17","162.72647914101327","97.24378387302535","0.007568359375","0.01318359375","0.001953125","1560","0.0008173478898516847","32","0.0008173478898516847","0","0.0008173478898516847","0.0008173478898516847","27:0.00427156346416338;8:0.00267853440131241","27:160;8:108","Yes","27:0.006704976038845595;8:0.0037391594243921245"
"18","219.24460311829088","196.20355787245126","0.0048828125","0.00439453125","0.00537109375","1560","0.00035991456691756023","32","0.00035991456691756023","0","0.00035991456691756023","0.00035991456691756023","12:0.0028065564339029014;31:0.013260902109826528","12:68;31:68","Yes","12:0.003476894144543302;31:0.007640988685414962"
"19","166.56258681847618","112.00439721083323","0.0576171875","0.06884765625","0.04638671875","1560","0.0004432586464453658","32","0.0004432586464453658","0","0.0004432586464453658","0.0004432586464453658","20:0.004322001837576195;15:0.0034857207200792995","20:108;15:80","Yes","20:0.004077648276989587;15:0.004149765187925425"
"20","18.97251956300151","30.374152051537127","0.018310546875","0.0283203125","0.00830078125","1560","0.0007104129809719518","32","0.0007104129809719518","0","0.0007104129809719518","0.0007104129809719518","19:0.004322001837576195;21:0.041339889922014816","19:108;21:68","Yes","19:0.004077648276989587"
"21","78.73702966309735","23.24789132560018","0.05712890625","0.10205078125","0.01220703125","1560","0.0007810395171624659","32","0.0007810395171624659","0","0.0007810395171624659","0.0007810395171624659","34:0.012225197232026197;20:0.041339889922014816;22:0.008221634124128158","34:68;20:68;22:68","Yes","34:0.04408574053180522;22:0.005590478313286018"
"22","101.67562208765207","114.29368985078764","0.027587890625","0.03466796875","0.0205078125","1560","0.00046145241788341206","32","0.00046145241788341206","0","0.00046145241788341206","0.00046145241788341206","23:0.00455297628147161;21:0.008221634124128158","23:68;21:68","Yes","23:0.0051673017774821195;21:0.005590478313286018"
"23","148.07885960749616","138.50959738470866","0.0322265625","0.03125","0.033203125","1560","0.0003387196273129221","32","0.0003387196273129221","0","0.0003387196273129221","0.0003387196273129221","22:0.00455297628147161;24:0.004394626398264018;16:0.004574133898594068","22:68;24:68;16:184","Yes","22:0.0051673017774821195;24:0.015262019776067726;16:0.005406036962407934"
"24","86.28318051940403","103.48548033788316","0.02978515625","0.01513671875","0.04443359375","1560","0.0005409926379107577","32","0.0005409926379107577","0","0.0005409926379107577","0.0005409926379107577","23:0.004394626398264018;25:0.003188342559710816","23:68;25:68","Yes","23:0.015262019776067726;25:0.00840468918633816"
